,Unnamed: 0,date2,hour,favorites count,favorites mean,retweets mean,retweets count,RT_score mean,RT_score count,fav_score mean,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent mean,Close,price dir,movement,month
106,106,2019-01-05,19,6,9.833333333333334,2.6666666666666665,6,0.4620981203732968,6,1.5544203543775987,3.516518474750896,6,0.0619079219213543,0.3,0.7048814255908621,3810.98,4.706,1.0,1.0
107,107,2019-01-05,20,2,22195.5,1002.5,2,5.26915841188578,2,7.218757528926284,13.987915940812064,2,0.0,0.0,1.6866069425701051,3803.68,3.62,1.0,1.0
108,108,2019-01-05,21,1,797.0,17.0,1,2.833213344056216,1,6.680854678790215,10.51406802284643,1,0.0,0.0,0.0,3806.57,1.876,1.0,1.0
109,109,2019-01-05,22,2,438.5,34.5,2,3.5400132499612957,2,5.376177804046424,10.41619105400772,2,-0.2128559335023772,0.5125,3.1888059286939074,3786.62,-2.948,0.0,1.0
110,110,2019-01-05,23,1,43.0,20.0,1,2.995732273553991,1,3.7612001156935615,7.756932389247553,1,1.8099508908244288,0.1666666666666666,4.7318797521900615,3770.96,-7.612,0.0,1.0
111,111,2019-01-06,0,1,30.0,18.0,1,2.8903717578961645,1,3.4011973816621555,7.291569139558319,1,0.0,0.0,-4.556501555309994,3786.76,-4.844,0.0,1.0
112,112,2019-01-06,1,2,13.5,2.0,2,0.6931471805599453,2,2.6020033435383976,3.295150524098343,2,-0.2012675845367574,0.3,0.4071643235178603,3765.65,-7.606,0.0,1.0
113,113,2019-01-06,4,1,45.0,20.0,1,2.995732273553991,1,3.80666248977032,7.80239476332431,1,0.0,0.0,-4.231238680150773,3767.9,-0.612,0.0,1.0
114,114,2019-01-06,5,1,1609.0,258.0,1,5.552959584921617,1,7.383368146992383,12.936327731914002,1,0.0,0.0,0.0,3777.75,-1.802,0.0,1.0
115,115,2019-01-06,8,1,110.0,32.0,1,3.4657359027997265,1,4.700480365792417,9.166216268592144,1,1.5277027114320234,0.2833333333333333,0.0,3772.88,0.346,1.0,1.0
116,116,2019-01-06,9,1,38.0,20.0,1,2.995732273553991,1,3.6375861597263857,6.633318433280376,1,1.1055530722133955,0.3333333333333333,0.0,3771.3,0.68,1.0,1.0
117,117,2019-01-06,10,1,229.0,101.0,1,4.61512051684126,1,5.43372200355424,10.0488425203955,1,1.7585474410692123,0.3083333333333333,-2.5003530623655017,3796.99,3.848,1.0,1.0
118,118,2019-01-06,11,1,130.0,53.0,1,3.970291913552122,1,4.867534450455582,9.837826364007704,1,0.0,0.0,0.0,3814.24,8.404,1.0,1.0
119,119,2019-01-06,12,1,1204.0,171.0,1,5.14166355650266,1,7.093404625868766,13.235068182371426,1,0.0,0.0,6.247225813918851,3790.81,4.574,1.0,1.0
