,date2,hour,favorites count,favorites mean,retweets mean,retweets count,RT_score mean,RT_score count,fav_score mean,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent mean
0,2019-01-01,0,2,76335.5,12856.0,2,5.07733709743749,2,7.2504523808597,12.327789478297191,2,2.080815492040208,0.44999999999999996,5.067590430041075
1,2019-01-01,1,1,18.0,17.0,1,2.833213344056216,1,2.8903717578961645,6.723585101952381,1,-1.0505601721800595,0.34375,1.9901811901779045
2,2019-01-01,2,4,5117.75,188.5,4,2.923717987858525,4,4.485641557558544,7.659359545417068,4,0.8256598284626087,0.2,1.9207601720702479
3,2019-01-01,3,2,83.5,3.5,2,0.8958797346140275,2,2.555993894178272,3.451873628792299,2,0.0,0.26363636363636367,2.8857663536703617
4,2019-01-01,4,3,294.3333333333333,10.0,3,1.772706664614739,3,3.7472225903108636,5.519929254925603,3,0.0,0.16666666666666666,1.4263249760360601
5,2019-01-01,5,2,38.5,14.5,2,2.393745871391023,2,3.562239131246712,5.9559850026377354,2,0.37707092588859903,0.5738095238095238,3.0391824117046267
6,2019-01-01,6,2,61.5,20.5,2,1.8444397270569681,2,3.665202605922201,6.009642332979169,2,4.558160801690777,0.8,1.5946386471783236
7,2019-01-01,7,3,24426.666666666668,979.6666666666666,3,4.538173270430399,3,7.107690264003022,11.645863534433422,3,-0.1591653045140716,0.18888888888888888,3.18760078167889
8,2019-01-01,8,3,39.333333333333336,17.0,3,1.5283224928901904,3,3.1495231869028113,5.011179013126335,3,-0.05668662302770259,0.1111111111111111,1.3256336687934784
9,2019-01-01,9,1,67.0,29.0,1,3.367295829986474,1,4.204692619390966,7.571988449377439,1,0.0,1.0,2.0565520628509124
10,2019-01-01,10,2,31.5,12.0,2,2.452637389219215,2,3.4396779022302195,6.892315291449434,2,3.6457845697791598,0.15,2.322000192492347
11,2019-01-01,12,1,41.0,15.0,1,2.70805020110221,1,3.713572066704308,8.421622267806518,1,4.210811133903259,0.5,4.244425774958547
12,2019-01-01,13,1,71.0,33.0,1,3.4965075614664802,1,4.2626798770413155,8.759187438507796,1,0.0,0.5,0.0
13,2019-01-01,14,2,39.0,20.5,2,3.020127355638707,2,3.6622449896742664,8.182372345312974,2,-1.1563956510387448,0.3,-3.363248469495235
14,2019-01-01,15,1,91.0,37.0,1,3.6109179126442243,1,4.51085950651685,9.121777419161074,1,0.0,0.0,-2.7614043225147653
15,2019-01-01,16,6,79.83333333333333,26.666666666666668,6,3.082873617511192,6,4.144965068550943,8.394505352728801,6,-0.36467424438207846,0.47575757575757577,-0.593354470537616
16,2019-01-01,17,10,86.1,25.2,10,2.235491664611279,10,3.587731269129364,6.823222933740643,10,0.24353009677593027,0.3335714285714285,0.9662854084297076
17,2019-01-01,18,6,17.833333333333332,8.666666666666666,6,1.2120663987616744,6,2.1558931454509986,4.534626210879339,6,-0.07100097390805749,0.2064814814814815,1.045397242625296
18,2019-01-01,19,4,120.0,21.25,4,2.11658021526062,4,2.958578267471795,6.075158482732415,4,0.4711309034835763,0.16785714285714284,-0.6430276447073984
19,2019-01-01,20,3,13.0,1.0,3,0.23104906018664842,3,2.5172374051171036,3.7482864653037518,3,-0.1277737781352072,0.19999999999999998,0.0
20,2019-01-01,21,14,6.571428571428571,2.0,14,0.37478743372574896,14,1.4019989479941468,2.8482149531484673,14,0.28626242409111724,0.43321428571428566,0.4886403118083253
21,2019-01-01,22,5,27.0,9.8,5,1.3369223455335855,5,2.8012493226718496,5.338171668205435,5,-0.24363881794908968,0.36,0.3179424988512741
22,2019-01-01,23,2,45.5,26.5,2,3.151309487872452,2,3.771636673352723,7.922946161225175,2,0.0,0.0,0.397505438273316
23,2019-01-02,2,2,20.0,8.0,2,1.3862943611198906,2,2.6590599969221085,4.545354358041998,2,-0.08958797346140275,0.8,-1.6676738511557014
24,2019-01-02,3,4,11.0,2.5,4,0.7489330683884977,4,2.15763046918081,2.9065635375693075,4,-0.2906563537569308,0.6,0.0
25,2019-01-02,4,1,25.0,7.0,1,1.9459101490553132,1,3.2188758248682006,5.164785973923514,1,0.0,0.0,1.8655206937811732
26,2019-01-02,5,4,38.0,12.25,4,2.0593698221534082,4,3.446777770860644,5.756147593014052,4,-0.027465307216702747,0.08333333333333333,-0.621829326343783
27,2019-01-02,7,3,31.666666666666668,12.333333333333334,3,2.465853845174684,3,3.427673092872596,6.226860271380613,3,-0.0969518526660534,0.1111111111111111,-1.4666271033002307
28,2019-01-02,8,1,35.0,8.0,1,2.0794415416798357,1,3.5553480614894135,5.634789603169249,1,-0.5634789603169249,0.6,0.0
29,2019-01-02,9,3,59.333333333333336,21.333333333333332,3,2.9470047701612976,3,3.9396461647022445,7.219984268196875,3,-1.3597049861599153,0.25,-2.915746786151018
30,2019-01-02,10,1,10.0,1.0,1,0.0,1,2.302585092994046,2.302585092994046,1,-0.2302585092994046,0.6,0.0
31,2019-01-02,11,5,74.6,32.2,5,3.28867480820479,5,4.101022842292397,7.989697650497189,5,0.28147554864268903,0.02,0.7036467349603306
32,2019-01-02,12,4,126.75,55.5,4,3.6714163001236013,4,4.440668027418678,9.112084327542279,4,-0.7937628355809664,0.3633101851851852,3.768640365877177
