,Unnamed: 0,Unnamed: 0.1,date2,hour,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent_hourly mean,Close,price dir,movement,month
36,36,36,2019-01-02,16,7.856960418117036,6,0.1081899335955685,0.359090909090909,0.9852428391814708,3824.89,7.384,1.0,1.0
37,37,37,2019-01-02,17,5.0115241091226,3,-0.1257529574079927,0.5333333333333333,0.8862043501152287,3822.6,6.018,1.0,1.0
38,38,38,2019-01-02,18,4.446369710730145,10,0.6981499657028425,0.375,1.9118120578011788,3828.87,0.644,1.0,1.0
39,39,39,2019-01-02,19,2.494968883262667,3,1.1670304449093096,0.3,0.3778011631266419,3824.98,2.748,1.0,1.0
40,40,40,2019-01-02,20,4.414901331956972,7,0.4499212445128667,0.1857142857142857,1.50124110250443,3849.0,9.544,1.0,1.0
41,41,41,2019-01-02,21,5.039959281452181,6,-0.2520738109414944,0.4666666666666666,-0.0726196594781404,3856.68,6.358,1.0,1.0
42,42,42,2019-01-02,22,7.103336323796185,5,-0.29301927847583,0.5254545454545454,0.354958831999023,3862.12,7.904,1.0,1.0
43,43,43,2019-01-02,23,5.308066569635571,2,-0.130471895621705,0.3,3.557775024045039,3858.56,5.938,1.0,1.0
44,44,44,2019-01-03,0,11.016250427449345,2,0.8512287781341956,0.2272727272727272,3.56801738510732,3830.78,1.16,1.0,1.0
45,45,45,2019-01-03,1,8.16063373487239,4,3.520449008307572,0.3625,2.827808110698565,3835.96,-2.608,0.0,1.0
46,46,46,2019-01-03,2,2.073512410025507,4,-0.1367159898965214,0.4125,-0.7081600453503186,3833.47,-4.642,0.0,1.0
47,47,47,2019-01-03,3,2.449531759219576,4,0.0373619515386487,0.5148809523809523,0.4327440638174042,3841.83,-4.058,0.0,1.0
48,48,48,2019-01-03,4,7.648564160032884,6,0.0,0.2535353535353535,1.2608972608945768,3834.59,-4.794,0.0,1.0
49,49,49,2019-01-03,5,2.8931040136308908,3,-0.2893104013630891,0.6,0.1312192077179632,3824.38,-1.28,0.0,1.0
50,50,50,2019-01-03,6,3.332204510175204,1,-0.3332204510175204,0.6,0.0,3820.53,-3.086,0.0,1.0
51,51,51,2019-01-03,7,1.3862943611198906,1,0.0,0.0,0.0,3828.88,-0.918,0.0,1.0
52,52,52,2019-01-03,9,5.53343751554161,3,-0.5593570330068965,0.2944444444444444,-0.6029154396117887,3805.81,-5.756,0.0,1.0
53,53,53,2019-01-03,10,5.247015479884025,9,0.950980743778452,0.4597643097643097,1.711926404064388,3811.52,-2.572,0.0,1.0
54,54,54,2019-01-03,11,8.86218971590188,4,-0.2025360115241944,0.5645833333333333,2.796609381130376,3804.0,-3.306,0.0,1.0
